,ID_float,dt_float,lat_float,lon_float,kd_380_Xing,kd_412_Xing,kd_490_Xing,PAR_0,zpd_PAR,kd_PAR,kd_490_it,kd_412_it,aot_869,angstrom,Rrs_412,Rrs_443,Rrs_469,Rrs_488,Rrs_531,Rrs_547,Rrs_555,Rrs_645,Rrs_667,Rrs_678,chlor_a,Kd_490_Aus,sat_dt,weigth,new_kd_Aus,sat_name,a_490,bb_490,nw_490,a_412,bb_412,nw_412,new_kd_490_Lee_indiv,new_kd_412_Lee_indiv,zenith_angle,rrs_412,rrs_490,aot_862,Rrs_410,Rrs_486,Rrs_551,Rrs_671,new_kd_490_Lee_global,new_kd_412_Lee_global,TOTANGSTR_Merra,TOTEXTTAU_Merra,TOTSCATAU_Merra,PS_Merra,lat_Merra,lon_Merra,dt_Merra,tau_mol_490,tau_mol_412,w_490,w_412,a_aer,tau_aer_490,tau_aer_412,t_dir_490,t_dir_412,t_tot_490,t_tot_412,f_490,f_412,D0_490,D0_412,kd_490_f,kd_412_f,check_sum
3873,3902124,2021-07-10 17:29:02.399997261+00:00,-20.26205833,-19.12599167,0.035550895,,,,,,,,,0.264711168,,0.00963089,,,,,,,,,0.066433265,0.030577777,738347.6521,0.004249804,0.025223195,viirsjn,0.022704044,0.002923971,0.482908311,0.023079908,0.005032078,0.57894718,0.028576681,0.028955208,53.99367856,0.019920261,0.011774891,0.160611107,0.011070445,0.006688001,0.001791779,0.000331334,0.029035569,0.02972063,,,,,0.0,0.0,0.0,,,,,0.666666667,0.138305345,0.132101125,,,,,,,,,,,True
3874,3902124,2021-07-10 17:29:02.399997261+00:00,-20.26205833,-19.12599167,0.035550895,,,,,,,,,0.281553389,,0.009517072,,,,,,,,,0.059467,0.025478571,738347.6146,0.004249804,0.022811109,viirs,0.021054309,0.002572128,0.54896551,0.019540554,0.004541187,0.641530041,0.025049044,0.022868086,46.99470309,0.021210305,0.011164686,0.159224996,0.011839449,0.006378287,0.001570001,0.000159794,0.026010621,0.023883343,,,,,0.0,0.0,0.0,,,,,0.666666667,0.135813534,0.129342842,,,,,,,,,,,True
3963,6904117,2021-08-04 13:33:35.999995170+00:00,57.8280025,20.14759,,0.686405164,,1363.277842,2.905283956,0.344200435,,0.10126603,,1.717259111,,0.001898809,,,,,,,,,2.382910957,0.180865213,738372.4771,0.003271739,0.211807479,viirsjn,0.142913072,0.006545608,0.215718655,0.283439157,0.008825271,0.330109721,0.183056914,0.361447126,41.43302407,0.002800981,0.00413659,0.027823404,0.001490001,0.002214001,0.002402955,0.000658305,0.191761607,0.374442114,1.513680577,0.073874049,0.067909732,101515.4219,58.0,20.0,738372.5417,0.153850691,0.315116943,0.771798437,0.593643158,0.666666667,0.010547448,0.007831406,0.803099612,0.650019448,0.897965021,0.806193224,0.894355118,0.80628245,1.319360211,1.307310646,0.197189836,0.382080398,True
3964,6904117,2021-08-04 13:33:35.999995170+00:00,57.8280025,20.14759,,0.686405164,,1363.277842,2.905283956,0.344200435,,0.10126603,0.025026086,2.132196009,0.002231751,0.001848084,0.001773728,0.001946001,0.002261131,0.002140175,0.002018175,0.000681183,0.000586088,0.00059974,2.413292825,0.180791662,738372.4531,0.003271739,0.151413626,aqua,0.136965722,0.005518337,0.251476513,0.166494403,0.00771027,0.37002472,0.174783633,0.215640079,40.72221782,0.004183012,0.003633673,,,,,,0.180522624,0.223861299,1.513680577,0.073874049,0.067909732,101515.4219,58.0,20.0,738372.5417,0.153850691,0.315116943,0.771798437,0.593643158,0.666666667,0.007376529,0.00509683,0.808371054,0.655398579,0.900348284,0.809538067,0.897842612,0.80959575,1.306956668,1.296149282,0.186220491,0.225795262,True
4122,6902904,2021-10-14 09:29:57.120004890+00:00,34.596255,27.44108833,0.036926477,0.029050936,0.023190869,,,,0.02312384,0.027136474,0.065349998,0.803513086,0.009213441,0.007921183,0.007008334,0.005928481,0.002493668,0.001913914,0.001584262,0.000234918,0.000195501,0.000180349,0.105853698,0.033741666,738443.3837,0.000176545,0.029372722,terra,0.024002984,0.002768138,0.501323345,0.02617231,0.004782238,0.596580573,0.031496146,0.035267781,44.0967575,0.01672136,0.010533717,,,,,,0.029625324,0.032880768,0.591207623,0.115137547,0.10758315,101618.0313,34.5,27.5,738443.375,0.153860934,0.315435456,0.872706884,0.787682396,0.666666667,0.041239414,0.0358764,0.762109664,0.613129322,0.884455884,0.789167613,0.861670636,0.776931683,1.365401766,1.348840695,0.036553337,0.041752754,True
4123,6902904,2021-10-14 09:29:57.120004890+00:00,34.596255,27.44108833,0.036926477,0.029050936,0.023190869,,,,0.02312384,0.027136474,,0.762848933,,0.00781574,,,,,,,,,0.108813681,0.03620851,738443.4521,0.000176545,0.029048322,viirsjn,0.025965339,0.002942979,0.47978924,0.029725988,0.005050226,0.576866745,0.032162971,0.03846004,44.81036826,0.01555023,0.010350868,0.082640907,0.008551235,0.005809838,0.00176561,0.000243788,0.032358169,0.038031279,0.591207623,0.115137547,0.10758315,101618.0313,34.5,27.5,738443.375,0.153860934,0.315435456,0.872706884,0.787682396,0.666666667,0.053710562,0.047056329,0.7463328,0.599923878,0.878897723,0.782624444,0.849169113,0.766553975,1.377496063,1.359935713,0.039821094,0.047293416,True
4124,6902904,2021-10-14 09:29:57.120004890+00:00,34.596255,27.44108833,0.036926477,0.029050936,0.023190869,,,,0.02312384,0.027136474,,1.035846704,,0.007673068,,,,,,,,,0.106932818,0.032955555,738443.4854,0.000176545,0.028018568,viirs,0.025775687,0.002865057,0.492838189,0.030864808,0.00494205,0.589493796,0.031101437,0.037378446,49.31124213,0.014655401,0.010148909,0.071393476,0.008047575,0.005696697,0.001716131,0.000135023,0.032668034,0.040275745,0.591207623,0.115137547,0.10758315,101618.0313,34.5,27.5,738443.375,0.153860934,0.315435456,0.872706884,0.787682396,0.666666667,0.039769831,0.033231938,0.743042048,0.585782187,0.874031898,0.771490191,0.850131499,0.75928663,1.48337599,1.452773913,0.042484993,0.052019268,True
4125,6902904,2021-10-14 09:29:57.120004890+00:00,34.596255,27.44108833,0.036926477,0.029050936,0.023190869,,,,0.02312384,0.027136474,0.061686362,1.207029199,0.009013479,0.007833914,0.00656461,0.005530501,0.002188334,0.001635251,0.001310783,7.02e-05,9.96e-05,0.000120668,0.096386118,0.029695651,738443.4531,0.000176545,0.026047922,aqua,0.021663775,0.002316603,0.599037661,0.023280291,0.00415425,0.686764208,0.027956251,0.031461805,44.91559469,0.016331436,0.009759642,,,,,,0.026591458,0.028866067,0.591207623,0.115137547,0.10758315,101618.0313,34.5,27.5,738443.375,0.153860934,0.315435456,0.872706884,0.787682396,0.666666667,0.030892403,0.025059002,0.770360557,0.618273678,0.886446548,0.790667709,0.869043439,0.781963991,1.383961494,1.365227673,0.033187919,0.037454395,True
