ID_float,dt_float,lat_float,lon_float
6901472,735166.6146,22.023965,-39.80792833
6901472,735166.6146,22.023965,-39.80792833
6901475,735172.609,21.72237833,-39.71855
6901475,735172.609,21.72237833,-39.71855
6901473,735175.6201,21.59200524,-39.71262132
6901473,735175.6201,21.59200524,-39.71262132
6901473,735175.6201,21.59200524,-39.71262132
6901475,735176.609,21.50789333,-39.63807667
6901475,735176.609,21.50789333,-39.63807667
6901439,735186.5674,-18.51201833,-25.25144333
6901439,735186.5674,-18.51201833,-25.25144333
6901439,735187.5618,-18.50868333,-25.26618167
6901439,735187.5618,-18.50868333,-25.26618167
6901439,735188.5743,-18.51591167,-25.27693833
6901473,735195.6215,20.87351598,-39.78834579
6901473,735195.6215,20.87351598,-39.78834579
6901473,735195.6215,20.87351598,-39.78834579
6901475,735198.6069,20.59015333,-40.17028667
6901032,735199.4882,43.39763333,7.912861667
6901475,735199.609,20.55925667,-40.20613
6901475,735200.6056,20.52535333,-40.24010667
6901475,735200.6056,20.52535333,-40.24010667
6901475,735201.609,20.48586667,-40.26638833
6901439,735203.566,-18.62256167,-25.63038
6901473,735205.6257,20.74851699,-39.94873965
6901473,735205.6257,20.74851699,-39.94873965
6901439,735207.566,-18.67676333,-25.64523
6901439,735207.566,-18.67676333,-25.64523
6901439,735207.566,-18.67676333,-25.64523
6901439,735208.5701,-18.69200667,-25.641415
6901032,735209.484,43.31751333,7.455903333
6901032,735209.484,43.31751333,7.455903333
6901439,735209.5729,-18.7006,-25.61927667
6901472,735211.6188,21.42211667,-39.75457333
6901472,735211.6188,21.42211667,-39.75457333
6901472,735211.6188,21.42211667,-39.75457333
6901472,735211.6188,21.42211667,-39.75457333
6901032,735214.4826,43.32901167,7.237426667
6901437,735214.5701,-18.68336167,-25.45255833
6901439,735217.5653,-19.03225667,-25.3337
6901439,735217.5653,-19.03225667,-25.3337
6901032,735219.4819,43.25844667,7.099461667
6901032,735219.4819,43.25844667,7.099461667
6901032,735219.4819,43.25844667,7.099461667
6901439,735220.5625,-19.19148833,-25.14305333
6901439,735220.5625,-19.19148833,-25.14305333
